Question,Answer
Bitte nennen Sie Ihr Geburtsdatum!,1.1 Video.mp4
Bitte nennen Sie mir Ihr Koerpergewicht in Kilogramm!,1.2 Video.mp4
Bitte nennen Sie mir Ihre Koerpergroesse in Zentimetern!,1.3 Video.mp4
Sind Sie links- oder rechtshaendig?,1.4 Video.mp4
Koennen Sie selbstaendig ihre Waden freimachen?,1.5 Video.mp4
Welchen Beruf ueben Sie aus?,2.1 Video.mp4
ueben Sie regelmaessig einen bestimmten Sport aus? Falls ja  bitte nennen Sie die Sportart.,2.2 Video.mp4
Trinken Sie mehrmals pro Woche Alkohol? ,2.3 Video.mp4
Welche Arten von Alkohol trinken Sie mehrmals woechentlich? ,2.4 Video.mp4
Wie oft trinken Sie Alkohol pro Woche? ,2.5 Video.mp4
Rauchen Sie? Falls ja  geben Sie bitte an  wie viel Sie pro Tag rauchen. ,2.6 Video.mp4
Seit wie vielen Jahren rauchen Sie? ,2.7 Video.mp4
Nehmen Sie andere Drogen zu sich? Falls ja  geben Sie bitte an  wie oft. ,2.8 Video.mp4
Haben Sie in den letzten Wochen oder Monaten ungewollt Gewicht verloren? Falls ja  bitte sagen Sie mir  wie viel Gewicht Sie ungefaehr verloren haben.,3.1 Video.mp4
Bestehen bei Ihnen Stoerungen des Allgemeinbefindens?,3.2 Video.mp4
Besteht bei Ihnen eine Allergie? Falls ja  nennen Sie mir bitte an welcher Allergie beziehungsweise welchen Allergien Sie leiden.,3.3 Video.mp4
Besteht bei Ihnen eine Unvertraeglichkeit oder ueberempfindlichkeit auf Metalle? Falls ja  nennen Sie mir bitte die betreffenden Metalle.,3.4 Video.mp4
Besteht eine Neigung zu Wundheilungsstoerungen?,3.5 Video.mp4
Besteht derzeit oder bestand in den letzten sechs Monaten eine Entzuendung? Falls ja  bitte erlaeutern Sie wo diese Entzuendung auftrat.,3.6 Video.mp4
Treten diese Entzuendungen wiederholt auf?,3.7 Video.mp4
Bestand in den letzten vier Wochen ein Infekt? Falls ja  bitte erlaeutern Sie was fuer ein Infekt bestand.,3.8 Video.mp4
Besteht oder Bestand eine Infektionskrankheit? Falls ja  bitte nennen Sie diese.,3.9 Video.mp4
Bestehen Schwellungen der Lymphknoten?,3.10 Video.mp4
Neigen Sie zu Schwellungen an den Armen oder Beinen?,3.11 Video.mp4
Bestehen neuaufgetretene Hautveraenderungen?,3.12 Video.mp4
Besteht eine koerperliche Beeintraechtigung?,3.13 Video.mp4
Gibt oder gab es in der Blutsverwandschaft Erkrankungen oder Anzeichen von Erkrankungen? Falls ja  welche?,3.14 Video.mp4
Tragen Sie ein Piercing? Falls ja  bitte nennen Sie den Koerperteil  der das Piercing traegt.,3.15 Video.mp4
Tragen Sie ein Tattoo?,3.16 Video.mp4
Soll Ihre Kontaktperson bei einer Veraenderung wie einer Verbesserung oder Verschlechterung Ihres Zustands informiert werden?,4.1 Video.mp4
Haben Sie einen Fach- oder Hausarzt bei uns hinterlegt?,4.2 Video.mp4
Besteht eine Versorgungsvollmacht fuer Sie?,4.3 Video.mp4
Besitzen Sie eine Patientenverfuegung?,4.4 Video.mp4
Besteht bei Ihnen Bedarf zur Betreuung? Zum Beispiel fuer die Gesundheitsvorsorge oder die Aufenthaltsbestimmung?,4.5 Video.mp4
Haben Sie bereits eine Betreuungsperson angegeben?,4.6 Video.mp4
Haben Sie religioese Beduerfnisse angegeben?,4.7 Video.mp4
Geben Sie bitte Ihre aktuelle Wohnsituation an. Leben Sie alleine  in einer Gemeinschaft oder in einer stationaeren Einrichtung?,4.8 Video.mp4
Wurde von Ihrer Seite bereits ein Pflegedienst  Pflegeheim oder sonstige stationaere Stelle informiert oder angefragt?,4.9 Video.mp4
Haben Sie bereits den ueberleitungsbogen ausgefuellt?,4.10 Video.mp4
Geben Sie bitte Ihren aktuell bewilligten Pflegegrad an.,4.11 Video.mp4
Ist eine Infektion bekannt?,4.12 Video.mp4
Nennen Sie bitte vorherige Pflegeleistungen  falls solche vorliegen.,4.13 Video.mp4
Bestehen im Moment akute oder chronische Schmerzen?,5.1 Video.mp4
Seit wann bestehen diese Schmerzen?,5.2 Video.mp4
An welcher Koerperstelle bestehen die Schmerzen?,5.3 Video.mp4
Welcher Art sind die Schmerzen?,5.4 Video.mp4
Wie lange halten die Schmerzen an?,5.5 Video.mp4
Wie oft treten die Schmerzen auf?,5.6 Video.mp4
Wie stark sind die Schmerzen?,5.7 Video.mp4
Gibt es aeussere Einfluesse  die den Schmerz ausloesen oder verstaerken?,5.8 Video.mp4
Leiden Sie an Migraene?,5.9 Video.mp4
Benoetigen Sie Hilfe beim Essen? ,6.1 Video.mp4
Benoetigen Sie Hilfe beim Baden?,6.2 Video.mp4
Benoetigen Sie Hilfe beim Waschen  Rasieren  Kaemmen oder Zaehneputzen?,6.3 Video.mp4
Benoetigen Sie Hilfe beim An- und Auskleiden oder beim Schuhebinden? ,6.4 Video.mp4
Treten bei Ihnen Inkontinenzen beim Stuhlgang auf? ,6.5 Video.mp4
Treten bei Ihnen Inkontinenzen beim Urinieren auf? ,6.6 Video.mp4
Benoetigen Sie Hilfestellung beim Toilettengang?,6.7 Video.mp4
Wie mobil sind sie bei der Fortbewegung,6.8 Video.mp4
Benoetigen Sie Hilfestellung beim Treppensteigen? ,6.9 Video.mp4
Benoetigen Sie Hilfe beim Bett- oder Stuhltranser?,6.10 Video.mp4
Bereitet es Ihnen Schwierigkeiten  sich koerperlich anzustrengen? Also zum Beispiel  wenn Sie eine schwere Einkaufstasche oder einen Koffer tragen.,7.1 Video.mp4
Bereitet es Ihnen Schwierigkeiten  einen laengeren Spaziergang zu machen?,7.2 Video.mp4
Bereitet es Ihnen Schwierigkeiten  eine kurze Strecke ausser Haus zu gehen?,7.3 Video.mp4
Muessen Sie tagsueber im Bett liegen oder in einem Sessel sitzen?,7.4 Video.mp4
Brauchen Sie Hilfe beim Essen  Anziehen  Waschen oder Benutzen der Toilette?,7.5 Video.mp4
Waren Sie waehrend der letzten Woche bei Ihrer Arbeit oder bei anderen taeglichen Beschaeftigungen eingeschraenkt?,7.6 Video.mp4
Waren Sie waehrend der letzten Woche bei Ihren Hobbys oder anderen Freizeitbeschaeftigungen eingeschraenkt?,7.7 Video.mp4
Waren Sie waehrend der letzten Woche kurzatmig?,7.8 Video.mp4
Hatten Sie waehrend der letzten Woche Schmerzen?,7.9 Video.mp4
Mussten Sie sich waehrend der letzten Woche ausruhen?,7.10 Video.mp4
Hatten Sie waehrend der letzten Woche Schlafstoerungen?,7.11 Video.mp4
Fuehlten Sie sich waehrend der letzten Woche schwach?,7.12 Video.mp4
Hatten Sie waehrend der letzten Woche Appetitmangel?,7.13 Video.mp4
War Ihnen waehrend der letzten Woche uebel?,7.14 Video.mp4
Haben Sie waehrend der letzten Woche erbrochen?,7.15 Video.mp4
Hatten Sie waehrend der letzten Woche Verstopfung?,7.16 Video.mp4
Hatten Sie waehrend der letzten Woche Durchfall?,7.17 Video.mp4
Waren Sie waehrend der letzten Woche muede?,7.18 Video.mp4
Fuehlten Sie sich waehrend der letzten Woche durch Ihre Schmerzen in Ihrem alltaeglichem Leben beeintraechtigt?,7.19 Video.mp4
Hatten Sie waehrend der letzten Woche Schwierigkeiten  sich auf etwas zu konzentrieren? Zum Beispiel auf das Zeitunglesen oder das Fernsehen?,7.20 Video.mp4
Fuehlten Sie sich waehrend der letzten Woche angespannt?,7.21 Video.mp4
Haben Sie sich waehrend der letzten Woche Sorgen gemacht?,7.22 Video.mp4
Waren Sie waehrend der letzten Woche reizbar?,7.23 Video.mp4
Fuehlten Sie sich waehrend der letzten Woche niedergeschlagen?,7.24 Video.mp4
Hatten Sie waehrend der letzten Woche Schwierigkeiten  sich an Dinge zu erinnern?,7.25 Video.mp4
Hat Ihr koerperlicher Zustand oder Ihre medizinische Behandlung waehrend der letzten Woche Ihr Familienleben beeintraechtigt?,7.26 Video.mp4
Hat Ihr koerperlicher Zustand oder Ihre medizinische Behandlung waehrend der letzten Woche Ihr Zusammensein oder Ihre gemeinsamen Unternehmungen mit anderen Menschen beeintraechtigt?,7.27 Video.mp4
Hat Ihr koerperlicher Zustand oder Ihre medizinische Behandlung waehrend der letzten Woche fuer Sie finanzielle Schwierigkeiten mit sich gebracht?,7.28 Video.mp4
Wie wuerden Sie insgesamt Ihren Gesundheitszustand waehrend der letzten Woche einschaetzen? Bitte waehlen Sie eine Zahl zwischen 1 (sehr schlecht) und 7 (ausgezeichnet).,7.29 Video.mp4
Wie wuerden Sie insgesamt Ihre Lebensqualitaet waehrend der letzten Woche einschaetzen? Bitte waehlen Sie eine Zahl zwischen 1 (sehr schlecht) und 7 (ausgezeichnet),7.30 Video.mp4
